snp	pqtl_gene	neg_logp	gwas_collection	gwas_source
rs140142103	REPIN1	55.602	additional GWAS	Biorxiv-Butterworth-2017
rs704	SLAMF7	55.456	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	LCP1	55.208	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	EIF4E2	55.167	additional GWAS	Biorxiv-Butterworth-2017
rs3132451	PDE4D	55.149	additional GWAS	Biorxiv-Butterworth-2017
rs704	RNF13	55	additional GWAS	Biorxiv-Butterworth-2017
rs10832169	SPON1	54.886	additional GWAS	Biorxiv-Butterworth-2017
rs3132451	GRIA4	54.77	additional GWAS	Biorxiv-Butterworth-2017
rs12194408	PPIL1	54.721	additional GWAS	Biorxiv-Butterworth-2017
rs892145	GUCA1A	54.721	additional GWAS	Biorxiv-Butterworth-2017
rs288326	FRZB	54.432	additional GWAS	Biorxiv-Butterworth-2017
rs2738176	DEFB1	54.252	additional GWAS	Biorxiv-Butterworth-2017
rs372065719	VWC2	54.143	additional GWAS	Biorxiv-Butterworth-2017
rs704	HSPA1L	53.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	EIF5A	53.824	additional GWAS	Biorxiv-Butterworth-2017
rs704	TOR1AIP1	53.387	additional GWAS	Biorxiv-Butterworth-2017
rs1692819	CTSB	53.284	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	IST1	53.237	additional GWAS	Biorxiv-Butterworth-2017
rs57514363	LRRC15	53.229	additional GWAS	Biorxiv-Butterworth-2017
rs12588573	RNASE4	53.051	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ACYP2	52.959	additional GWAS	Biorxiv-Butterworth-2017
rs454615	TIMP4	52.77	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	RPSA	52.745	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NAT14	52.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	DGCR14	52.678	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	TXNRD1	52.658	additional GWAS	Biorxiv-Butterworth-2017
rs2093847	UCMA	52.509	additional GWAS	Biorxiv-Butterworth-2017
rs12086750	PPIE	52.319	additional GWAS	Biorxiv-Butterworth-2017
rs4151667	CFB	52.26	additional GWAS	Biorxiv-Butterworth-2017
rs72809988	NTN1	51.796	additional GWAS	Biorxiv-Butterworth-2017
rs1061170	PGRMC2	51.77	additional GWAS	Biorxiv-Butterworth-2017
rs61751507	PCDHA7	51.745	additional GWAS	Biorxiv-Butterworth-2017
rs2228243	TMEM87B	51.721	additional GWAS	Biorxiv-Butterworth-2017
rs2524139	KIR2DS2	51.699	additional GWAS	Biorxiv-Butterworth-2017
rs406658	C4A,C4B	51.509	additional GWAS	Biorxiv-Butterworth-2017
rs35524242	SIRT2	51.167	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	RPS27A	51.161	additional GWAS	Biorxiv-Butterworth-2017
rs17580	CDHR1	51.009	additional GWAS	Biorxiv-Butterworth-2017
rs7964859	SMPDL3A	50.921	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	EVI2B	50.796	additional GWAS	Biorxiv-Butterworth-2017
rs2274700	CFH	50.796	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	CD84	50.745	additional GWAS	Biorxiv-Butterworth-2017
rs6441996	LTF	50.699	additional GWAS	Biorxiv-Butterworth-2017
rs35039172	SFTPC	50.42	additional GWAS	Biorxiv-Butterworth-2017
rs150359707	CD300A	50.201	additional GWAS	Biorxiv-Butterworth-2017
rs704	ACPL2	50.108	additional GWAS	Biorxiv-Butterworth-2017
rs16923189	PDCD1LG2	50.102	additional GWAS	Biorxiv-Butterworth-2017
rs58452280	ATP1A1	49.854	additional GWAS	Biorxiv-Butterworth-2017
rs10858248	QSOX2	49.824	additional GWAS	Biorxiv-Butterworth-2017
rs139643250	CGA,LHB	49.553	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	ALOX15B	49.319	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	CAMK2A	49.31	additional GWAS	Biorxiv-Butterworth-2017
rs528298	MAN1B1	49.201	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	MIF	49.119	additional GWAS	Biorxiv-Butterworth-2017
rs704	SEMA3A	49.108	additional GWAS	Biorxiv-Butterworth-2017
rs2685416	FAM163A	48.959	additional GWAS	Biorxiv-Butterworth-2017
rs1801689	NUDT9	48.854	additional GWAS	Biorxiv-Butterworth-2017
rs35327014	NPW	48.796	additional GWAS	Biorxiv-Butterworth-2017
rs398062996	SLITRK3	48.745	additional GWAS	Biorxiv-Butterworth-2017
rs11548618	CXCL10	48.678	additional GWAS	Biorxiv-Butterworth-2017
rs12941509	TNFSF12	48.658	additional GWAS	Biorxiv-Butterworth-2017
rs704	SEC11C	48.658	additional GWAS	Biorxiv-Butterworth-2017
rs72709516	IFI16	48.585	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	AKT1,AKT2,AKT3	48.456	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	SMAD4	48.301	additional GWAS	Biorxiv-Butterworth-2017
rs540781594	CLEC11A	48.222	additional GWAS	Biorxiv-Butterworth-2017
rs704	PUF60	48.208	additional GWAS	Biorxiv-Butterworth-2017
rs28929474	ACP2	48.208	additional GWAS	Biorxiv-Butterworth-2017
rs16993864	CBR1	48.18	additional GWAS	Biorxiv-Butterworth-2017
rs8176786	FAM189A2	48.131	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	GTF2I	48.092	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PCYOX1L	48.081	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	PYGL	47.959	additional GWAS	Biorxiv-Butterworth-2017
rs4241818	TMEM87B	47.886	additional GWAS	Biorxiv-Butterworth-2017
rs4970836	PLA2G12B	47.42	additional GWAS	Biorxiv-Butterworth-2017
rs3197999	TNS2	47.357	additional GWAS	Biorxiv-Butterworth-2017
chr12:89825226	CD300C	47.081	additional GWAS	Biorxiv-Butterworth-2017
rs4795433	MICALL2	47	additional GWAS	Biorxiv-Butterworth-2017
rs9439082	SPINT1	46.921	additional GWAS	Biorxiv-Butterworth-2017
rs7539005	TSNARE1	46.721	additional GWAS	Biorxiv-Butterworth-2017
rs704	SH2D1A	46.523	additional GWAS	Biorxiv-Butterworth-2017
rs704	C2orf66	46.201	additional GWAS	Biorxiv-Butterworth-2017
rs68066031	SERPINE2	45.959	additional GWAS	Biorxiv-Butterworth-2017
rs115478735	ISLR2	45.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	GRB2	45.921	additional GWAS	Biorxiv-Butterworth-2017
rs41278571	VEGFC	45.886	additional GWAS	Biorxiv-Butterworth-2017
rs7533094	PPT1	45.638	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	TBCE	45.509	additional GWAS	Biorxiv-Butterworth-2017
rs684782	SEPT10	45.377	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ELK1	45.367	additional GWAS	Biorxiv-Butterworth-2017
rs28577986	COL9A2	45.26	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NUDC	44.854	additional GWAS	Biorxiv-Butterworth-2017
rs704	NR1H2	44.538	additional GWAS	Biorxiv-Butterworth-2017
rs7952686	RELT	44.509	additional GWAS	Biorxiv-Butterworth-2017
rs2304456	STX7	44.444	additional GWAS	Biorxiv-Butterworth-2017
rs11347749	CREG1	44.409	additional GWAS	Biorxiv-Butterworth-2017
rs77400868	IL5RA	44.167	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	SMAP1	44.081	additional GWAS	Biorxiv-Butterworth-2017
rs2301790	MAN2B2	44	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	AKT2	43.745	additional GWAS	Biorxiv-Butterworth-2017
rs704	IL36A	43.658	additional GWAS	Biorxiv-Butterworth-2017
rs2712417	RPN1	43.509	additional GWAS	Biorxiv-Butterworth-2017
rs704	EDN2	43.301	additional GWAS	Biorxiv-Butterworth-2017
rs144147445	COL18A1	43.26	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	SMAD2	43.102	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	TRA2B	43	additional GWAS	Biorxiv-Butterworth-2017
rs145827860	CD209	43	additional GWAS	Biorxiv-Butterworth-2017
rs4656599	XCL1	42.699	additional GWAS	Biorxiv-Butterworth-2017
rs4395853	PRELP	42.538	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	STAT3	42.495	additional GWAS	Biorxiv-Butterworth-2017
rs7911226	FAS	42.456	additional GWAS	Biorxiv-Butterworth-2017
rs5167	CFL1	42.398	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	RPS27A	42.268	additional GWAS	Biorxiv-Butterworth-2017
rs2347784	COLGALT1	42.131	additional GWAS	Biorxiv-Butterworth-2017
rs941758	EMC1	42.051	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ING1	41.959	additional GWAS	Biorxiv-Butterworth-2017
rs6687487	EPHB2	41.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143194	STAU1	41.886	additional GWAS	Biorxiv-Butterworth-2017
rs35157100	SFTPC	41.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	S100A4	41.77	additional GWAS	Biorxiv-Butterworth-2017
rs704	DNAJB9	41.721	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	VPS4B	41.699	additional GWAS	Biorxiv-Butterworth-2017
rs10745925	CTSZ	41.638	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ELK3	41.62	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	RRM2B	41.602	additional GWAS	Biorxiv-Butterworth-2017
rs2015086	CCL3L1	41.509	additional GWAS	Biorxiv-Butterworth-2017
rs34436714	CSMD2	41.432	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	PTPN9	41.377	additional GWAS	Biorxiv-Butterworth-2017
rs1071803	SLURP1	41.149	additional GWAS	Biorxiv-Butterworth-2017
rs2160588	MANSC1	41.06	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ACBD6	40.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	CFL1	40.62	additional GWAS	Biorxiv-Butterworth-2017
rs72840032	HAAO	40.569	additional GWAS	Biorxiv-Butterworth-2017
rs11592462	LILRB4	40.538	additional GWAS	Biorxiv-Butterworth-2017
rs148212596	GLRX2	40.456	additional GWAS	Biorxiv-Butterworth-2017
rs2273121	CD59	40.328	additional GWAS	Biorxiv-Butterworth-2017
rs5167	FURIN	40.081	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	UFM1	40	additional GWAS	Biorxiv-Butterworth-2017
rs678	NAT1	39.959	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	UNC93B1	39.921	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	VAPA	39.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	AKR1B1	39.854	additional GWAS	Biorxiv-Butterworth-2017
rs79061565	ACP5	39.796	additional GWAS	Biorxiv-Butterworth-2017
rs1408416	ROR1	39.745	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	APAF1	39.678	additional GWAS	Biorxiv-Butterworth-2017
rs139695917	GXYLT1	39.602	additional GWAS	Biorxiv-Butterworth-2017
rs9296004	DEFB119	39.602	additional GWAS	Biorxiv-Butterworth-2017
rs2956633	SURF1	39.585	additional GWAS	Biorxiv-Butterworth-2017
rs61751507	MMP8	39.495	additional GWAS	Biorxiv-Butterworth-2017
rs10745925	GXYLT1	39.481	additional GWAS	Biorxiv-Butterworth-2017
rs635634	ICAM5	39.469	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	HDHD2	39.432	additional GWAS	Biorxiv-Butterworth-2017
rs3917532	NHLRC3	39.357	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	LYZL2	39.31	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	CKAP2	38.959	additional GWAS	Biorxiv-Butterworth-2017
rs4499344	PDCD5	38.921	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ARRB1	38.886	additional GWAS	Biorxiv-Butterworth-2017
rs12599777	NAGPA	38.854	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ARFIP1	38.824	additional GWAS	Biorxiv-Butterworth-2017
rs61022741	CHST11	38.745	additional GWAS	Biorxiv-Butterworth-2017
rs10490666	VIT	38.721	additional GWAS	Biorxiv-Butterworth-2017
rs1462977	HRSP12	38.658	additional GWAS	Biorxiv-Butterworth-2017
rs10747049	DPP7	38.638	additional GWAS	Biorxiv-Butterworth-2017
rs11994699	TNC	38.62	additional GWAS	Biorxiv-Butterworth-2017
rs704	RNF8	38.553	additional GWAS	Biorxiv-Butterworth-2017
rs5167	AIMP1	38.538	additional GWAS	Biorxiv-Butterworth-2017
rs200357845	GPLD1	38.432	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	GNPNAT1	38.319	additional GWAS	Biorxiv-Butterworth-2017
rs1303	PSD	38.31	additional GWAS	Biorxiv-Butterworth-2017
rs7606102	NAGK	38.222	additional GWAS	Biorxiv-Butterworth-2017
rs7412	KMT2C	38.161	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	WFDC3	38.131	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	ISG15	38.119	additional GWAS	Biorxiv-Butterworth-2017
rs939715	EVA1C	38.092	additional GWAS	Biorxiv-Butterworth-2017
rs11781016	RMDN1	38.081	additional GWAS	Biorxiv-Butterworth-2017
rs34907608	COCH	38	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	PCDHB10	37.854	additional GWAS	Biorxiv-Butterworth-2017
rs704	MPP6	37.824	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	MAPKAPK2	37.796	additional GWAS	Biorxiv-Butterworth-2017
rs3917539	SRXN1	37.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143194	RFK	37.77	additional GWAS	Biorxiv-Butterworth-2017
rs4683701	ECE1	37.678	additional GWAS	Biorxiv-Butterworth-2017
rs3820897	COLEC10	37.658	additional GWAS	Biorxiv-Butterworth-2017
rs1534881	CSF2RB	37.585	additional GWAS	Biorxiv-Butterworth-2017
rs62358361	CREBBP	37.553	additional GWAS	Biorxiv-Butterworth-2017
rs2286241	B4GALT2	37.523	additional GWAS	Biorxiv-Butterworth-2017
rs75228657	HDHD2	37.328	additional GWAS	Biorxiv-Butterworth-2017
rs4241818	LAMA4	37.319	additional GWAS	Biorxiv-Butterworth-2017
rs1718849	IGFBP7	37.284	additional GWAS	Biorxiv-Butterworth-2017
rs704	NPIPB3	37.131	additional GWAS	Biorxiv-Butterworth-2017
rs73165060	SULT1E1	37.032	additional GWAS	Biorxiv-Butterworth-2017
rs704	EFNB3	36.921	additional GWAS	Biorxiv-Butterworth-2017
rs17580	HPGD	36.886	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	GLRX2	36.824	additional GWAS	Biorxiv-Butterworth-2017
rs704	STX1A	36.678	additional GWAS	Biorxiv-Butterworth-2017
rs9296009	RACGAP1	36.538	additional GWAS	Biorxiv-Butterworth-2017
rs28929474	NCF2	36.495	additional GWAS	Biorxiv-Butterworth-2017
rs2277413	NUDT16L1	36.469	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	UBQLN4	36.268	additional GWAS	Biorxiv-Butterworth-2017
rs3864106	MINPP1	36.167	additional GWAS	Biorxiv-Butterworth-2017
rs9952639	CHST9	36.143	additional GWAS	Biorxiv-Butterworth-2017
rs7153315	TNFRSF11A	36.06	additional GWAS	Biorxiv-Butterworth-2017
rs7439493	CFI	36.051	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	USP8	36.051	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	EIF4B	35.959	additional GWAS	Biorxiv-Butterworth-2017
rs2304456	A1CF	35.796	additional GWAS	Biorxiv-Butterworth-2017
rs140185670	SIGLEC7	35.77	additional GWAS	Biorxiv-Butterworth-2017
rs7412	APBB2	35.721	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	ITGA1,ITGB1	35.658	additional GWAS	Biorxiv-Butterworth-2017
rs704	LRRK2	35.585	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	BCL10	35.523	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NMES1	35.509	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	DNAJC17	35.432	additional GWAS	Biorxiv-Butterworth-2017
rs28929474	PIM1	35.367	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	CBFB	35.347	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	NR3C2	35.328	additional GWAS	Biorxiv-Butterworth-2017
rs34963977	NCAM2	35.301	additional GWAS	Biorxiv-Butterworth-2017
rs12973524	FCER2	35.237	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ICOSLG	35.201	additional GWAS	Biorxiv-Butterworth-2017
rs11022114	DKK3	35.187	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	ASAH1	35	additional GWAS	Biorxiv-Butterworth-2017
rs16989763	PI3	34.796	additional GWAS	Biorxiv-Butterworth-2017
rs56062839	ART3	34.585	additional GWAS	Biorxiv-Butterworth-2017
rs967645	RAB35	34.538	additional GWAS	Biorxiv-Butterworth-2017
rs143361672	NRXN1	34.495	additional GWAS	Biorxiv-Butterworth-2017
rs4795433	CDH3	34.42	additional GWAS	Biorxiv-Butterworth-2017
rs75766	RTN4R	34.319	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	RUNX3	34.229	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	VTI1B	34.222	additional GWAS	Biorxiv-Butterworth-2017
rs62069681	NPTX1	34.119	additional GWAS	Biorxiv-Butterworth-2017
rs1065853	C14orf93	33.886	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	SAP18	33.824	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	MCTS1	33.796	additional GWAS	Biorxiv-Butterworth-2017
rs4584622	SMIM9	33.699	additional GWAS	Biorxiv-Butterworth-2017
rs10972076	KIAA1161	33.658	additional GWAS	Biorxiv-Butterworth-2017
rs3745540	KLK12	33.602	additional GWAS	Biorxiv-Butterworth-2017
rs429358	SULT1E1	33.538	additional GWAS	Biorxiv-Butterworth-2017
rs1863622	NGFR	33.523	additional GWAS	Biorxiv-Butterworth-2017
rs3762056	F10	33.523	additional GWAS	Biorxiv-Butterworth-2017
rs704	PCDHB4	33.509	additional GWAS	Biorxiv-Butterworth-2017
rs1738434	PRSS3	33.444	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	ARHGDIA	33.432	additional GWAS	Biorxiv-Butterworth-2017
rs704	CAMK1D	33.409	additional GWAS	Biorxiv-Butterworth-2017
rs3132451	CD96	33.367	additional GWAS	Biorxiv-Butterworth-2017
rs2228467	CCL17	33.161	additional GWAS	Biorxiv-Butterworth-2017
rs4129858	LAMA1,LAMB1,LAMC1	33.149	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	DTX3L	33.143	additional GWAS	Biorxiv-Butterworth-2017
rs438811	MENT	33.092	additional GWAS	Biorxiv-Butterworth-2017
rs6480771	DUSP13	33.081	additional GWAS	Biorxiv-Butterworth-2017
rs2731673	TMEM87B	33.06	additional GWAS	Biorxiv-Butterworth-2017
rs704	PTPRH	32.854	additional GWAS	Biorxiv-Butterworth-2017
rs71640034	PRKCSH	32.796	additional GWAS	Biorxiv-Butterworth-2017
rs189821701	PLG	32.77	additional GWAS	Biorxiv-Butterworth-2017
rs11941335	SPINK2	32.658	additional GWAS	Biorxiv-Butterworth-2017
rs10624573	IL7R	32.638	additional GWAS	Biorxiv-Butterworth-2017
rs4454354	OBP2B	32.569	additional GWAS	Biorxiv-Butterworth-2017
rs635634	MET	32.495	additional GWAS	Biorxiv-Butterworth-2017
rs3810801	PRSS22	32.432	additional GWAS	Biorxiv-Butterworth-2017
rs2070600	AGER	32.409	additional GWAS	Biorxiv-Butterworth-2017
rs15881	GFRA2	32.387	additional GWAS	Biorxiv-Butterworth-2017
rs2232613	PRDM1	32.367	additional GWAS	Biorxiv-Butterworth-2017
rs41292808	THSD1	32.26	additional GWAS	Biorxiv-Butterworth-2017
rs6003387	FOXJ2	32.252	additional GWAS	Biorxiv-Butterworth-2017
rs704	KLRC3	32.18	additional GWAS	Biorxiv-Butterworth-2017
rs704	IL5	32.161	additional GWAS	Biorxiv-Butterworth-2017
rs4921484	IL12B,IL23A	32.143	additional GWAS	Biorxiv-Butterworth-2017
rs10424405	CDC42BPA	32.051	additional GWAS	Biorxiv-Butterworth-2017
rs8176693	CD36	32.022	additional GWAS	Biorxiv-Butterworth-2017
rs704	CLEC2D	31.921	additional GWAS	Biorxiv-Butterworth-2017
rs7789303	EPHB6	31.824	additional GWAS	Biorxiv-Butterworth-2017
rs4145487	EXOSC3	31.745	additional GWAS	Biorxiv-Butterworth-2017
rs148410779	PTGR1	31.678	additional GWAS	Biorxiv-Butterworth-2017
rs4241818	CDH15	31.602	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	LONP1	31.585	additional GWAS	Biorxiv-Butterworth-2017
rs704	PSMA1	31.585	additional GWAS	Biorxiv-Butterworth-2017
rs35162472	DEFB112	31.553	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	N6AMT1	31.495	additional GWAS	Biorxiv-Butterworth-2017
rs28577986	TMIE	31.469	additional GWAS	Biorxiv-Butterworth-2017
rs62143198	CILP	31.456	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	TTL	31.432	additional GWAS	Biorxiv-Butterworth-2017
rs41398344	CCL22	31.387	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	PDCL2	31.328	additional GWAS	Biorxiv-Butterworth-2017
rs3762056	F10	31.284	additional GWAS	Biorxiv-Butterworth-2017
rs151288400	HTN1	31.237	additional GWAS	Biorxiv-Butterworth-2017
rs6542680	NSDHL	31.208	additional GWAS	Biorxiv-Butterworth-2017
rs62199218	LAMA1,LAMB1,LAMC1	30.959	additional GWAS	Biorxiv-Butterworth-2017
rs986475	NCR3	30.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	NADK	30.886	additional GWAS	Biorxiv-Butterworth-2017
rs3749290	FAM3D	30.699	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	STX8	30.553	additional GWAS	Biorxiv-Butterworth-2017
rs74001662	TXNDC5	30.538	additional GWAS	Biorxiv-Butterworth-2017
rs198389	NPPB	30.456	additional GWAS	Biorxiv-Butterworth-2017
rs5167	CPA2	30.398	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NISCH	30.337	additional GWAS	Biorxiv-Butterworth-2017
rs10745925	NAAA	30.26	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	EIF2B1	30.201	additional GWAS	Biorxiv-Butterworth-2017
rs9864010	DCBLD2	30.18	additional GWAS	Biorxiv-Butterworth-2017
rs73702564	DNAJC30	30.161	additional GWAS	Biorxiv-Butterworth-2017
rs62143194	FGR	30.161	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	MDH1	30.108	additional GWAS	Biorxiv-Butterworth-2017
rs34097845	MPO	30.071	additional GWAS	Biorxiv-Butterworth-2017
rs11447348	PMEPA1	30.06	additional GWAS	Biorxiv-Butterworth-2017
rs12085435	KLRC3	29.921	additional GWAS	Biorxiv-Butterworth-2017
rs2232613	HNRNPC	29.886	additional GWAS	Biorxiv-Butterworth-2017
rs17580	SIGLEC8	29.886	additional GWAS	Biorxiv-Butterworth-2017
rs8176693	TEK	29.854	additional GWAS	Biorxiv-Butterworth-2017
rs62165726	CD163	29.796	additional GWAS	Biorxiv-Butterworth-2017
rs1958078	SMOC1	29.745	additional GWAS	Biorxiv-Butterworth-2017
rs34983651	UGT1A6	29.721	additional GWAS	Biorxiv-Butterworth-2017
rs6441996	NME1	29.62	additional GWAS	Biorxiv-Butterworth-2017
rs12075	CDSN	29.569	additional GWAS	Biorxiv-Butterworth-2017
rs140130028	CTSH	29.444	additional GWAS	Biorxiv-Butterworth-2017
rs4789763	SECTM1	29.42	additional GWAS	Biorxiv-Butterworth-2017
rs2228467	CCL11	29.347	additional GWAS	Biorxiv-Butterworth-2017
rs34528912	TCN1	29.337	additional GWAS	Biorxiv-Butterworth-2017
rs72708013	CDH7	29.301	additional GWAS	Biorxiv-Butterworth-2017
rs429358	ADGRF1	29.18	additional GWAS	Biorxiv-Butterworth-2017
rs704	SYTL4	29.149	additional GWAS	Biorxiv-Butterworth-2017
rs61751507	CAST	29.131	additional GWAS	Biorxiv-Butterworth-2017
rs4734879	VEGFA	29.131	additional GWAS	Biorxiv-Butterworth-2017
rs4632248	PLCG1	29	additional GWAS	Biorxiv-Butterworth-2017
rs10931256	FAM171B	28.959	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PABPC4	28.959	additional GWAS	Biorxiv-Butterworth-2017
rs704	DEFB105A	28.921	additional GWAS	Biorxiv-Butterworth-2017
rs705379	DUSP13	28.921	additional GWAS	Biorxiv-Butterworth-2017
rs1642762	ATP1B2	28.824	additional GWAS	Biorxiv-Butterworth-2017
rs3129897	IL21	28.77	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	NME2	28.721	additional GWAS	Biorxiv-Butterworth-2017
rs2853880	HLA,DMA	28.699	additional GWAS	Biorxiv-Butterworth-2017
rs7909223	ITIH5	28.699	additional GWAS	Biorxiv-Butterworth-2017
rs73351608	MGAT4B	28.658	additional GWAS	Biorxiv-Butterworth-2017
rs55636108	B3GNT1	28.585	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	PABPC3	28.585	additional GWAS	Biorxiv-Butterworth-2017
rs3833490	FAM163A	28.553	additional GWAS	Biorxiv-Butterworth-2017
rs704	ARHGAP30	28.456	additional GWAS	Biorxiv-Butterworth-2017
rs6993770	COCH	28.409	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	EIF5	28.328	additional GWAS	Biorxiv-Butterworth-2017
rs61738953	ATF6	28.319	additional GWAS	Biorxiv-Butterworth-2017
rs9271421	H6PD	28.31	additional GWAS	Biorxiv-Butterworth-2017
rs11347749	CTSF	28.237	additional GWAS	Biorxiv-Butterworth-2017
rs227934	CCDC126	28.161	additional GWAS	Biorxiv-Butterworth-2017
rs704	ST6GALNAC1	28.131	additional GWAS	Biorxiv-Butterworth-2017
rs10891700	FCN2	28.131	additional GWAS	Biorxiv-Butterworth-2017
rs704	DPP7	28.102	additional GWAS	Biorxiv-Butterworth-2017
rs7019909	B4GALT1	28.102	additional GWAS	Biorxiv-Butterworth-2017
rs62143197	DOK2	28.081	additional GWAS	Biorxiv-Butterworth-2017
rs7299271	COL1A1	28.06	additional GWAS	Biorxiv-Butterworth-2017
rs10935473	TIE1	28.032	additional GWAS	Biorxiv-Butterworth-2017
rs7787942	C1GALT1C1	28	additional GWAS	Biorxiv-Butterworth-2017
rs704	GRAMD1C	27.959	additional GWAS	Biorxiv-Butterworth-2017
rs3197999	DOCK9	27.959	additional GWAS	Biorxiv-Butterworth-2017
rs601338	GOLM1	27.959	additional GWAS	Biorxiv-Butterworth-2017
rs2268748	GPNMB	27.921	additional GWAS	Biorxiv-Butterworth-2017
rs61753651	ESAM	27.921	additional GWAS	Biorxiv-Butterworth-2017
rs10418046	SKIL	27.854	additional GWAS	Biorxiv-Butterworth-2017
rs11557236	NMRAL1	27.824	additional GWAS	Biorxiv-Butterworth-2017
rs17599599	SPOCK3	27.824	additional GWAS	Biorxiv-Butterworth-2017
rs11447348	BGN	27.824	additional GWAS	Biorxiv-Butterworth-2017
rs17850756	QPCTL	27.796	additional GWAS	Biorxiv-Butterworth-2017
rs117103342	POSTN	27.796	additional GWAS	Biorxiv-Butterworth-2017
rs61751507	CAMK1	27.77	additional GWAS	Biorxiv-Butterworth-2017
rs62143206	SPAG11A	27.678	additional GWAS	Biorxiv-Butterworth-2017
